Caption,BlockUntil,ChildStatus,GroupStatus,LastBoot,LastSync,LastSystemUpTimePollUtc,MachineType,MaxResponseTime,MinResponseTime,NodeName,PercentLoss,PercentMemoryAvailable,PercentMemoryUsed,StatusIcon,Comments,ConnectionType,Department,Latitude,Longitude,Region
821-016_6-HUB-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/22/2017 4:15:00 PM,11/21/2018 3:43:52 PM,11/21/2018 3:43:11 PM,"Brocade Communications Systems, Inc.",5,2,821-016_6-HUB-SW,0,100,0,Up.gif,SR 821-016-MHUB Coral Reef,Fiber,Switch-Campus,25.631596000,-80.385414000,South
417-037_7-HUB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,7/10/2018 6:49:00 PM,11/21/2018 3:40:52 PM,11/21/2018 3:40:40 PM,"Brocade Communications Systems, Inc.",57,2,417-037_7-HUB-SW,0,,-2,Up-Down.gif,SR 417-037-MHUB,Fiber,Switch-Campus,28.612339891,-81.257663431,North
417-047_0-HUB-SW,12/30/1899 5:00:00 AM,1,Up.gif,3/4/2014 9:30:00 PM,11/21/2018 3:40:29 PM,11/21/2018 3:40:05 PM,"Brocade Communications Systems, Inc.",7,2,417-047_0-HUB-SW,0,,-2,Up.gif,SR 417-047-MHUB,Fiber,Switch-Campus,28.740573311,-81.257755740,North
pomcbs-b1,12/30/1899 5:00:00 AM,1,Up.gif,6/8/2016 1:41:00 AM,11/21/2018 3:43:50 PM,11/21/2018 3:39:59 PM,Cisco Catalyst Blade Switch 3130X,15,4,pomcbs-b1,0,77,23,Up.gif,Pompano Annex,Copper,Switch-Campus,28.517071,-81.502962,
pomcbs-b2,12/30/1899 5:00:00 AM,1,Up.gif,6/8/2016 1:41:00 AM,11/21/2018 3:40:52 PM,11/21/2018 3:40:19 PM,Cisco Catalyst Blade Switch 3130X,7,4,pomcbs-b2,0,77,23,Up.gif,Pompano Annex,Copper,Switch-Campus,28.517071,-81.502962,
tlops4108c2b-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,1/31/2014 7:15:00 PM,11/21/2018 3:40:52 PM,11/21/2018 3:39:37 PM,"Brocade Communications Systems, Inc.",3,0,tlops4108c2b-sw,0,68,32,Up-Down.gif,Turkey Lake OPS 4108,Fiber,Switch-Campus,28.517071,-81.502962,
091-065_0-CORE-1-GW,12/30/1899 5:00:00 AM,1,Up.gif,3/17/2017 1:40:00 AM,11/21/2018 3:42:34 PM,11/21/2018 3:42:31 PM,"Brocade Communications Systems, Inc.",3,0,091-065_0-CORE-1-GW,0,66,34,Up.gif,Pompano Annex,Fiber,Switch-Campus,26.224477,-80.184515,South
091-186_0-MD-FTDRUM-PLZ-SW,12/30/1899 5:00:00 AM,1,Up.gif,10/31/2018 12:00:00 PM,11/21/2018 3:43:47 PM,11/21/2018 3:43:30 PM,"Brocade Communications Systems, Inc.",3,2,091-186_0-MD-FTDRUM-PLZ-SW,0,95,5,Up.gif,Ft Drum Serv Plaza,Fiber,Switch-Campus,27.601354,-80.822578,North
sr570mp8HUB-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,10/19/2018 1:55:00 PM,11/21/2018 3:43:28 PM,11/21/2018 3:43:13 PM,"Brocade Communications Systems, Inc.",4,2,sr570mp8HUB-sw,0,100,0,Up-Down.gif,SR 570-008-MHUB,Fiber,Switch-Campus,27.996425000,-81.934672200,
sr528mp0_3HUB-sw,12/30/1899 5:00:00 AM,2,Up-Down.gif,7/26/2018 8:06:00 PM,11/21/2018 3:43:50 PM,11/21/2018 3:41:52 PM,"Brocade Communications Systems, Inc.",6,1,sr528mp0_3HUB-sw,0,100,0,Up-Down.gif,SR 528-000.3-MHUB,Fiber,Switch-Campus,28.420876883,-81.470272588,
429-010_3-SB-HUB-SW,12/30/1899 5:00:00 AM,2,Up-Down.gif,6/17/2017 2:50:00 PM,11/21/2018 3:43:57 PM,11/21/2018 3:43:08 PM,"Brocade Communications Systems, Inc.",6,2,429-010_3-SB-HUB-SW,0,100,0,Up-Down.gif,SR 429-011-MHUB,Fiber,Switch-Campus,28.412123005,-81.628934039,North
091-116_0-HUB-SW,12/30/1899 5:00:00 AM,1,Up.gif,8/31/2017 7:04:00 PM,11/21/2018 3:43:42 PM,11/21/2018 3:42:39 PM,"Brocade Communications Systems, Inc.",49,2,091-116_0-HUB-SW,0,100,0,Up.gif,SR 091-116-MHUB  Indian Town Rd Tower,Fiber,Switch-Campus,26.935770000,-80.157650000,South
091-230_0-PLZ-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/7/2018 10:58:00 AM,11/21/2018 3:42:43 PM,11/21/2018 3:42:32 PM,"Brocade Communications Systems, Inc.",2,2,091-230_0-PLZ-SW,0,100,0,Up.gif,Canoe Creek Serv Plaza,Fiber,Switch-Campus,28.094408,-81.274028,North
091-265_0-TL-PLZ-SW,12/30/1899 5:00:00 AM,1,Up.gif,11/16/2018 5:42:00 PM,11/21/2018 3:43:31 PM,11/21/2018 3:42:30 PM,IronWare FLS624,2,0,091-265_0-TL-PLZ-SW,0,78,22,Up.gif,Turkey Lake Serv Plaza,Fiber,Switch-Campus, 28.514581,-81.499453,North
821-019_0-MD-SW,12/30/1899 5:00:00 AM,1,Up.gif,2/13/2018 9:34:00 PM,11/21/2018 3:43:32 PM,11/21/2018 3:42:59 PM,"Brocade Communications Systems, Inc.",10,1,821-019_0-MD-SW,0,91,9,Up.gif,Snapper Creek SW,Fiber,Switch-Campus,25.663845,-80.387551,South
91-265_0-VL120SW-B,12/30/1899 5:00:00 AM,2,Up-Down.gif,3/6/2018 3:20:00 PM,11/21/2018 3:43:45 PM,11/21/2018 3:43:42 PM,"Brocade Communications Systems, Inc.",1,0,91-265_0-VL120SW-B,0,94,6,Up-Down.gif,,,Switch-Campus,,,
091-265_0-DATACENTER-STACK-SW,12/30/1899 5:00:00 AM,1,Up.gif,7/26/2018 5:09:00 AM,11/21/2018 3:43:43 PM,11/21/2018 3:43:23 PM,"Brocade Communications Systems, Inc.",143,0,091-265_0-DATACENTER-STACK-SW,0,83,17,Up.gif,,,Switch-Campus,28.517021,-81.502988,North
91-265_0-VL120SW-A,12/30/1899 5:00:00 AM,1,Up.gif,3/6/2018 12:59:00 PM,11/21/2018 3:42:17 PM,11/21/2018 3:41:55 PM,"Brocade Communications Systems, Inc.",1,0,91-265_0-VL120SW-A,0,94,6,Up.gif,,,Switch-Campus,,,
091-265_0-DMZ-SW,12/30/1899 5:00:00 AM,1,Up.gif,8/14/2018 12:02:00 PM,11/21/2018 3:43:02 PM,11/21/2018 3:42:51 PM,"Brocade Communications Systems, Inc.",1,0,091-265_0-DMZ-SW,0,86,14,Up.gif,,,Switch-Campus,,,
